,Начальные запасы воды в ОТЧ.РЕГ.                                                       тыс.ст.м3,Ср. насыщенность нефти,Ср. давление в резервуаре [wpv]                                                         бар абс.,Ошибка материального баланса для компонента WATER                                             кг,Ср. давление в резервуаре [whc]                                                         бар абс.,Текущие запасы воды в ОТЧ.РЕГ.                                                         тыс.ст.м3,Текущая масса компонента WATER                                                            млн.кг,MBERRCTRL,Текущие подвижные запасы воды в ОТЧ.РЕГ.                                               тыс.ст.м3,Закачка компонента WATER                                                                      кг,Начальные запасы летучей нефти в ОТЧ.РЕГ.                                                  ст.м3,Объём воды (пл.усл.)                                                                тыс.пласт.м3,Поровый объём при P(ref)                                                            тыс.пласт.м3,TOLVARNEWT,Характеристики,Ср. насыщенность воды,Поровый объём (пл.усл.)                                                             тыс.пласт.м3,MBERRLIM,Закачка компонента OIL                                                                        кг,MINNEWTIT,Начальные подвижные запасы воды в ОТЧ.РЕГ.                                             тыс.ст.м3,Текущие запасы летучей нефти в ОТЧ.РЕГ.                                                    ст.м3,Поток компонента через границу региона OIL                                                    кг,Начальная масса компонента WATER                                                          млн.кг,Добыча компонента OIL                                                                         кг,TOLLIN,Коэффициент извлечения нефти (КИН)                                                             %,CHECKP,Ошибка материального баланса для компонента OIL                                               кг,no.,Поток компонента через границу региона WATER                                                  кг,Добыча компонента WATER                                                                       кг
0,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,,3709.57,0.00,0.00,4330.65,5042.06,,Месторождение,0.858904,5042.06,,0.00,,3709.57,0.00,0.00,4953.67,0.00,,0.00,,0.00,0,0.00,0.00
1,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,1,0.00,0.00
2,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,2,0.00,0.00
3,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,3,0.00,0.00
4,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,4,0.00,0.00
5,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,5,0.00,0.00
6,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,6,0.00,0.00
7,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,7,0.00,0.00
8,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,8,0.00,0.00
9,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,9,0.00,0.00
10,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,10,0.00,0.00
11,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,11,0.00,0.00
12,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,12,0.00,0.00
13,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,13,0.00,0.00
14,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,14,0.00,0.00
15,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,15,0.00,0.00
16,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,16,0.00,0.00
17,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,17,0.00,0.00
18,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,18,0.00,0.00
19,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,19,0.00,0.00
20,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,1e-05,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,20,0.00,0.00
21,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,21,0.00,0.00
22,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,22,0.00,0.00
23,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,23,0.00,0.00
24,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,24,0.00,0.00
25,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,25,0.00,0.00
26,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,26,0.00,0.00
27,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,27,0.00,0.00
28,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,28,0.00,0.00
29,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,29,0.00,0.00
30,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,30,0.00,0.00
31,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,31,0.00,0.00
32,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,32,0.00,0.00
33,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,33,0.00,0.00
34,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,34,0.00,0.00
35,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,35,0.00,0.00
36,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,36,0.00,0.00
37,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,37,0.00,0.00
38,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,38,0.00,0.00
39,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,39,0.00,0.00
40,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,0.0001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,40,0.00,0.00
41,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,41,0.00,0.00
42,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,42,0.00,0.00
43,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,43,0.00,0.00
44,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,44,0.00,0.00
45,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,45,0.00,0.00
46,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,46,0.00,0.00
47,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,47,0.00,0.00
48,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,48,0.00,0.00
49,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,49,0.00,0.00
50,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,50,0.00,0.00
51,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,51,0.00,0.00
52,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,52,0.00,0.00
53,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,53,0.00,0.00
54,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,54,0.00,0.00
55,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,55,0.00,0.00
56,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,56,0.00,0.00
57,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,57,0.00,0.00
58,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,58,0.00,0.00
59,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,59,0.00,0.00
60,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,0.001,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,60,0.00,0.00
61,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,61,0.00,0.00
62,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,62,0.00,0.00
63,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,63,0.00,0.00
64,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,64,0.00,0.00
65,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,65,0.00,0.00
66,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,66,0.00,0.00
67,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,67,0.00,0.00
68,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,68,0.00,0.00
69,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,69,0.00,0.00
70,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,70,0.00,0.00
71,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,71,0.00,0.00
72,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,72,0.00,0.00
73,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,73,0.00,0.00
74,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,74,0.00,0.00
75,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,75,0.00,0.00
76,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,76,0.00,0.00
77,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,77,0.00,0.00
78,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,78,0.00,0.00
79,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,79,0.00,0.00
80,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,0.01,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,80,0.00,0.00
81,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,0.1,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,81,0.00,0.00
82,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,0.1,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,82,0.00,0.00
83,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,0.1,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,83,0.00,0.00
84,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,0.1,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,84,0.00,0.00
85,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,0.1,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,85,0.00,0.00
86,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-05,3709.57,0.00,0.00,4330.65,5042.06,0.1,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,86,0.00,0.00
87,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,0.1,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,87,0.00,0.00
88,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.0001,3709.57,0.00,0.00,4330.65,5042.06,0.1,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,88,0.00,0.00
89,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,0.1,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,89,0.00,0.00
90,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,0.001,3709.57,0.00,0.00,4330.65,5042.06,0.1,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,1.0,0.00,90,0.00,0.00
91,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,0.1,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,91,0.00,0.00
92,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-07,3709.57,0.00,0.00,4330.65,5042.06,0.1,Месторождение,0.858904,5042.06,0.0,0.00,0.0,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,92,0.00,0.00
93,4292.61,0.141096,349.04,0.00,348.42,4292.61,4953.67,1e-06,3709.57,0.00,0.00,4330.65,5042.06,0.1,Месторождение,0.858904,5042.06,0.0,0.00,,3709.57,0.00,0.00,4953.67,0.00,0.0001,0.00,2.0,0.00,93,0.00,0.00
