Поток компонента через границу региона OIL                                                    кг,CHECKP,Поток компонента через границу региона WATER                                                  кг,Текущие подвижные запасы воды в ОТЧ.РЕГ.                                               тыс.ст.м3,perm_median,Начальная масса компонента WATER                                                          млн.кг,poro_median,poro_fraction,MINNEWTIT,Объём воды (пл.усл.)                                                                тыс.пласт.м3,Текущие запасы летучей нефти в ОТЧ.РЕГ.                                                    ст.м3,ntg_mean,poro_mean,TOLLIN,Ср. насыщенность воды,Число компонентов (включая воду),MBERRCTRL,Ср. насыщенность нефти,Информация,TOLVARNEWT,perm_mean,ntg_variance,Поровый объём при P(ref)                                                            тыс.пласт.м3,Количество шагов,MBERRLIM,Характеристики,Поровый объём (пл.усл.)                                                             тыс.пласт.м3,Ср. давление в резервуаре [whc]                                                         бар абс.,Макс. число участков перфорации на скважину,Начальные запасы воды в ОТЧ.РЕГ.                                                       тыс.ст.м3,Файл модели,Начальные запасы летучей нефти в ОТЧ.РЕГ.                                                  ст.м3,poro_variance,Число скважин,Текущая масса компонента WATER                                                            млн.кг,Текущие запасы воды в ОТЧ.РЕГ.                                                         тыс.ст.м3,total_time,Ошибка материального баланса для компонента OIL                                               кг,Размер образа процесса,Ошибка материального баланса для компонента WATER                                             кг,ntg_median,Ср. давление в резервуаре [wpv]                                                         бар абс.,perm_variance,perm_fraction,Количество активных блоков,longitude,Число инт. перфораций,Начальная дата,Коэффициент извлечения нефти (КИН)                                                             %,Начальные подвижные запасы воды в ОТЧ.РЕГ.                                             тыс.ст.м3,no.,ntg_fraction
0.00,,0.00,46235.42,3.0261222099999996,130281.11,0.1397,1.2081696779261586,,135686.75,0.00,6.295211203238232,0.1409349722964757,,0.718654,2,,0.281346,расчёт физических величин на первом шаге завершён,,4.212950966395224,9.902903552763291,189226.63,140,,Месторождение,188806.86,209.26,557,127851.92,'D:/Temp_model/Шингинское/model/J1_HISTORY.DATA'.,0.00,0.014743836972858613,212,136610.46,134063.26,,-114366.10,930,,1.0,213.48,4.156459051909675,5.067101655169473,385695,139,31759,01 ОКТ 2006,12.58,39628.51,0,11.0
0.00,1.0,0.00,46238.31,3.0261222099999996,130281.11,0.1397,1.2081696779261586,,135689.64,0.00,6.295211203238232,0.1409349722964757,0.0001,0.718671,2,1e-07,0.281329,расчёт физических величин на первом шаге завершён,1e-05,4.212950966395224,9.902903552763291,189226.63,140,0.0,Месторождение,188806.40,209.24,557,127851.92,'D:/Temp_model/Шингинское/model/J1_HISTORY_1.DATA'.,0.00,0.014743836972858613,212,136612.98,134065.73,,-46.26,930,-376.17,1.0,213.43,4.156459051909675,5.067101655169473,385695,139,31759,01 ОКТ 2006,12.59,39628.51,1,11.0
0.00,1.0,0.00,46238.31,3.0261222099999996,130281.11,0.1397,1.2081696779261586,0.0,135689.64,0.00,6.295211203238232,0.1409349722964757,0.0001,0.718671,2,1e-07,0.281329,расчёт физических величин на первом шаге завершён,1e-05,4.212950966395224,9.902903552763291,189226.63,140,0.0,Месторождение,188806.40,209.24,557,127851.92,'D:/Temp_model/Шингинское/model/J1_HISTORY_2.DATA'.,0.00,0.014743836972858613,212,136612.98,134065.73,,-29.71,938,-382.63,1.0,213.43,4.156459051909675,5.067101655169473,385695,139,31759,01 ОКТ 2006,12.59,39628.51,2,11.0
0.00,1.0,0.00,46238.31,3.0261222099999996,130281.11,0.1397,1.2081696779261586,,135689.64,0.00,6.295211203238232,0.1409349722964757,0.0001,0.718671,2,1e-06,0.281329,расчёт физических величин на первом шаге завершён,1e-05,4.212950966395224,9.902903552763291,189226.63,140,0.0,Месторождение,188806.40,209.24,557,127851.92,'D:/Temp_model/Шингинское/model/J1_HISTORY_3.DATA'.,0.00,0.014743836972858613,212,136612.98,134065.73,,-46.26,934,-376.17,1.0,213.43,4.156459051909675,5.067101655169473,385695,139,31759,01 ОКТ 2006,12.59,39628.51,3,11.0
0.00,1.0,0.00,46238.31,3.0261222099999996,130281.11,0.1397,1.2081696779261586,0.0,135689.64,0.00,6.295211203238232,0.1409349722964757,0.0001,0.718671,2,1e-06,0.281329,расчёт физических величин на первом шаге завершён,1e-05,4.212950966395224,9.902903552763291,189226.63,140,0.0,Месторождение,188806.40,209.24,557,127851.92,'D:/Temp_model/Шингинское/model/J1_HISTORY_4.DATA'.,0.00,0.014743836972858613,212,136612.98,134065.73,,-29.71,932,-382.63,1.0,213.43,4.156459051909675,5.067101655169473,385695,139,31759,01 ОКТ 2006,12.59,39628.51,4,11.0
0.00,1.0,0.00,46238.31,3.0261222099999996,130281.11,0.1397,1.2081696779261586,,135689.64,0.00,6.295211203238232,0.1409349722964757,0.0001,0.718671,2,1e-05,0.281329,расчёт физических величин на первом шаге завершён,1e-05,4.212950966395224,9.902903552763291,189226.63,140,0.0,Месторождение,188806.40,209.24,557,127851.92,'D:/Temp_model/Шингинское/model/J1_HISTORY_5.DATA'.,0.00,0.014743836972858613,212,136612.98,134065.73,,-46.26,935,-376.17,1.0,213.43,4.156459051909675,5.067101655169473,385695,139,31759,01 ОКТ 2006,12.59,39628.51,5,11.0
0.00,1.0,0.00,46238.31,3.0261222099999996,130281.11,0.1397,1.2081696779261586,0.0,135689.64,0.00,6.295211203238232,0.1409349722964757,0.0001,0.718671,2,1e-05,0.281329,расчёт физических величин на первом шаге завершён,1e-05,4.212950966395224,9.902903552763291,189226.63,140,0.0,Месторождение,188806.40,209.24,557,127851.92,'D:/Temp_model/Шингинское/model/J1_HISTORY_6.DATA'.,0.00,0.014743836972858613,212,136612.98,134065.73,,-29.71,932,-382.63,1.0,213.43,4.156459051909675,5.067101655169473,385695,139,31759,01 ОКТ 2006,12.59,39628.51,6,11.0
0.00,1.0,0.00,46238.31,3.0261222099999996,130281.11,0.1397,1.2081696779261586,,135689.64,0.00,6.295211203238232,0.1409349722964757,0.0001,0.718671,2,0.0001,0.281329,расчёт физических величин на первом шаге завершён,1e-05,4.212950966395224,9.902903552763291,189226.63,140,0.0,Месторождение,188806.40,209.24,557,127851.92,'D:/Temp_model/Шингинское/model/J1_HISTORY_7.DATA'.,0.00,0.014743836972858613,212,136612.98,134065.73,,-46.26,934,-376.17,1.0,213.43,4.156459051909675,5.067101655169473,385695,139,31759,01 ОКТ 2006,12.59,39628.51,7,11.0
0.00,1.0,0.00,46238.31,3.0261222099999996,130281.11,0.1397,1.2081696779261586,0.0,135689.64,0.00,6.295211203238232,0.1409349722964757,0.0001,0.718671,2,0.0001,0.281329,расчёт физических величин на первом шаге завершён,1e-05,4.212950966395224,9.902903552763291,189226.63,140,0.0,Месторождение,188806.40,209.24,557,127851.92,'D:/Temp_model/Шингинское/model/J1_HISTORY_8.DATA'.,0.00,0.014743836972858613,212,136612.98,134065.73,,-29.71,935,-382.63,1.0,213.43,4.156459051909675,5.067101655169473,385695,139,31759,01 ОКТ 2006,12.59,39628.51,8,11.0
0.00,1.0,0.00,46238.31,3.0261222099999996,130281.11,0.1397,1.2081696779261586,,135689.64,0.00,6.295211203238232,0.1409349722964757,0.0001,0.718671,2,0.001,0.281329,расчёт физических величин на первом шаге завершён,1e-05,4.212950966395224,9.902903552763291,189226.63,140,0.0,Месторождение,188806.40,209.24,557,127851.92,'D:/Temp_model/Шингинское/model/J1_HISTORY_9.DATA'.,0.00,0.014743836972858613,212,136612.98,134065.73,,-46.26,933,-376.17,1.0,213.43,4.156459051909675,5.067101655169473,385695,139,31759,01 ОКТ 2006,12.59,39628.51,9,11.0
