,MBERRCTRL,TOLVARNEWT,Ошибка материального баланса для компонента WATER                                             кг,MBERRLIM,Ср. давление в резервуаре [wpv]                                                         бар абс.,Текущие запасы воды в ОТЧ.РЕГ.                                                         тыс.ст.м3,Начальная масса компонента WATER                                                          млн.кг,Текущие запасы летучей нефти в ОТЧ.РЕГ.                                                    ст.м3,Текущая масса компонента WATER                                                            млн.кг,CHECKP,Начальные запасы летучей нефти в ОТЧ.РЕГ.                                                  ст.м3,Поровый объём при P(ref)                                                            тыс.пласт.м3,Поток компонента через границу региона WATER                                                  кг,MINNEWTIT,Характеристики,Коэффициент извлечения нефти (КИН)                                                             %,Ср. давление в резервуаре [whc]                                                         бар абс.,Начальные запасы воды в ОТЧ.РЕГ.                                                       тыс.ст.м3,Объём воды (пл.усл.)                                                                тыс.пласт.м3,TOLLIN,no.,Поровый объём (пл.усл.)                                                             тыс.пласт.м3,Начальные подвижные запасы воды в ОТЧ.РЕГ.                                             тыс.ст.м3,Ошибка материального баланса для компонента OIL                                               кг,num_blocks,Поток компонента через границу региона OIL                                                    кг,Текущие подвижные запасы воды в ОТЧ.РЕГ.                                               тыс.ст.м3,Ср. насыщенность нефти,Ср. насыщенность воды
0,,,,,275.76,343356.00,351050.06,0.00,350909.83,,0.00,379323.97,0.00,,Месторождение,0.68,277.11,343493.21,351393.96,,0,379274.64,267531.32,-31558.70,502,0.00,267442.91,0.073511,0.926489
1,1e-07,1e-05,39083.30,0.0,275.71,343354.26,351050.06,0.00,350908.05,1.0,0.00,379323.97,0.00,,Месторождение,0.68,277.09,343493.21,351392.91,0.0001,1,379273.63,267531.32,-22935.31,502,0.00,267441.33,0.073511,0.926489
2,1e-07,1e-05,39083.30,0.0,275.71,343354.26,351050.06,0.00,350908.05,1.0,0.00,379323.97,0.00,0.0,Месторождение,0.68,277.09,343493.21,351392.91,0.0001,2,379273.63,267531.32,-22935.31,502,0.00,267441.33,0.073511,0.926489
3,1e-06,1e-05,39083.30,0.0,275.71,343354.26,351050.06,0.00,350908.05,1.0,0.00,379323.97,0.00,,Месторождение,0.68,277.09,343493.21,351392.91,0.0001,3,379273.63,267531.32,-22935.31,502,0.00,267441.33,0.073511,0.926489
4,1e-06,1e-05,39083.30,0.0,275.71,343354.26,351050.06,0.00,350908.05,1.0,0.00,379323.97,0.00,0.0,Месторождение,0.68,277.09,343493.21,351392.91,0.0001,4,379273.63,267531.32,-22935.31,502,0.00,267441.33,0.073511,0.926489
5,1e-05,1e-05,39083.30,0.0,275.71,343354.26,351050.06,0.00,350908.05,1.0,0.00,379323.97,0.00,,Месторождение,0.68,277.09,343493.21,351392.91,0.0001,5,379273.63,267531.32,-22935.31,502,0.00,267441.33,0.073511,0.926489
6,1e-05,1e-05,39083.30,0.0,275.71,343354.26,351050.06,0.00,350908.05,1.0,0.00,379323.97,0.00,0.0,Месторождение,0.68,277.09,343493.21,351392.91,0.0001,6,379273.63,267531.32,-22935.31,502,0.00,267441.33,0.073511,0.926489
7,0.0001,1e-05,39083.30,0.0,275.71,343354.26,351050.06,0.00,350908.05,1.0,0.00,379323.97,0.00,,Месторождение,0.68,277.09,343493.21,351392.91,0.0001,7,379273.63,267531.32,-22935.31,502,0.00,267441.33,0.073511,0.926489
8,0.0001,1e-05,39083.30,0.0,275.71,343354.26,351050.06,0.00,350908.05,1.0,0.00,379323.97,0.00,0.0,Месторождение,0.68,277.09,343493.21,351392.91,0.0001,8,379273.63,267531.32,-22935.31,502,0.00,267441.33,0.073511,0.926489
9,0.001,1e-05,39083.30,0.0,275.71,343354.26,351050.06,0.00,350908.05,1.0,0.00,379323.97,0.00,,Месторождение,0.68,277.09,343493.21,351392.91,0.0001,9,379273.63,267531.32,-22935.31,502,0.00,267441.33,0.073511,0.926489
