poro_fraction,perm_median,Текущие подвижные запасы воды в ОТЧ.РЕГ.                                               тыс.ст.м3,Поток компонента через границу региона OIL                                                    кг,Начальная дата,ntg_variance,Число инт. перфораций,Текущая масса компонента WATER                                                            млн.кг,ntg_mean,Размер образа процесса,CHECKP,Поровый объём (пл.усл.)                                                             тыс.пласт.м3,Коэффициент извлечения нефти (КИН)                                                             %,ntg_median,Текущие запасы воды в ОТЧ.РЕГ.                                                         тыс.ст.м3,Файл модели,Ср. насыщенность нефти,MBERRLIM,MINNEWTIT,poro_median,Поровый объём при P(ref)                                                            тыс.пласт.м3,Количество шагов,TOLLIN,poro_mean,MBERRCTRL,Ср. насыщенность воды,ntg_fraction,Начальные запасы летучей нефти в ОТЧ.РЕГ.                                                  ст.м3,Число скважин,Ср. давление в резервуаре [wpv]                                                         бар абс.,Начальные запасы воды в ОТЧ.РЕГ.                                                       тыс.ст.м3,no.,Поток компонента через границу региона WATER                                                  кг,Ошибка материального баланса для компонента WATER                                             кг,Ошибка материального баланса для компонента OIL                                               кг,Характеристики,perm_mean,TOLVARNEWT,perm_fraction,Информация,Макс. число участков перфорации на скважину,Начальные подвижные запасы воды в ОТЧ.РЕГ.                                             тыс.ст.м3,perm_variance,Число компонентов (включая воду),Начальная масса компонента WATER                                                          млн.кг,Ср. давление в резервуаре [whc]                                                         бар абс.,Текущие запасы летучей нефти в ОТЧ.РЕГ.                                                    ст.м3,poro_variance,total_time,Объём воды (пл.усл.)                                                                тыс.пласт.м3,Количество активных блоков,longitude
1.4146341463414633,13.67,20873.46,0.00,01 МАЙ 2009,44736.92576632747,28,30305.83,-13219.995171313403,787,,28103.81,3.00,1.0,25814.17,'E:/Работа/Сириус/Царичанское13Р/carich_DI.dat'.,0.067987,,,0.099,28155.52,110,,-9182.328479830057,,0.932013,-0.002000150011250844,0.00,3,361.96,25832.77,0,0.00,-157225.21,-19844.84,Месторождение,28.884351415847153,,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.69,0.00,161805.68852166296,00.01.35,26193.12,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,790,1.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_1.dat'.,0.067988,0.0,,0.099,28155.52,110,0.0001,-9182.328479830057,1e-07,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,1,-0.00,-92.49,-7.03,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.33,26193.00,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,788,1.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_2.dat'.,0.067988,0.0,0.0,0.099,28155.52,110,0.0001,-9182.328479830057,1e-07,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,2,-0.00,-92.49,-7.03,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.33,26193.00,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,781,1.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_3.dat'.,0.067988,0.0,,0.099,28155.52,110,0.0001,-9182.328479830057,1e-06,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,3,-0.00,-92.49,-7.03,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.34,26193.00,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,785,1.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_4.dat'.,0.067988,0.0,0.0,0.099,28155.52,110,0.0001,-9182.328479830057,1e-06,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,4,-0.00,-92.49,-7.03,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.34,26193.00,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,787,1.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_5.dat'.,0.067988,0.0,,0.099,28155.52,110,0.0001,-9182.328479830057,1e-05,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,5,-0.00,-92.49,-7.03,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.39,26193.00,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,786,1.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_6.dat'.,0.067988,0.0,0.0,0.099,28155.52,110,0.0001,-9182.328479830057,1e-05,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,6,-0.00,-92.49,-7.03,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.32,26193.00,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,788,1.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_7.dat'.,0.067988,0.0,,0.099,28155.52,110,0.0001,-9182.328479830057,0.0001,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,7,-0.00,-92.49,-7.03,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.32,26193.00,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,785,1.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_8.dat'.,0.067988,0.0,0.0,0.099,28155.52,110,0.0001,-9182.328479830057,0.0001,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,8,-0.00,-92.49,-7.03,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.33,26193.00,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,785,1.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_9.dat'.,0.067988,0.0,,0.099,28155.52,110,0.0001,-9182.328479830057,0.001,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,9,-0.00,-92.49,-7.03,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.33,26193.00,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,786,1.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_10.dat'.,0.067988,0.0,0.0,0.099,28155.52,110,0.0001,-9182.328479830057,0.001,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,10,-0.00,-92.49,-7.03,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.33,26193.00,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,792,2.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_11.dat'.,0.067988,0.0,,0.099,28155.52,110,0.0001,-9182.328479830057,1e-07,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,11,0.00,-82.61,-5.92,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.38,26193.00,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,791,2.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_12.dat'.,0.067988,0.0,0.0,0.099,28155.52,110,0.0001,-9182.328479830057,1e-07,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,12,0.00,-82.61,-5.92,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.33,26193.00,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,794,2.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_13.dat'.,0.067988,0.0,,0.099,28155.52,110,0.0001,-9182.328479830057,1e-06,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,13,0.00,-82.61,-5.92,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.33,26193.00,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,787,2.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_14.dat'.,0.067988,0.0,0.0,0.099,28155.52,110,0.0001,-9182.328479830057,1e-06,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,14,0.00,-82.61,-5.92,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.34,26193.00,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,793,2.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_15.dat'.,0.067988,0.0,,0.099,28155.52,110,0.0001,-9182.328479830057,1e-05,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,15,0.00,-82.61,-5.92,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.32,26193.00,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,790,2.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_16.dat'.,0.067988,0.0,0.0,0.099,28155.52,110,0.0001,-9182.328479830057,1e-05,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,16,0.00,-82.61,-5.92,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.34,26193.00,328955,109
1.4146341463414633,13.67,20873.33,-0.00,01 МАЙ 2009,44736.92576632747,28,30305.66,-13219.995171313403,791,2.0,28103.71,3.00,1.0,25814.02,'E:/Работа/Сириус/Царичанское13Р/carich_DI_17.dat'.,0.067988,0.0,,0.099,28155.52,110,0.0001,-9182.328479830057,0.0001,0.932012,-0.002000150011250844,0.00,3,361.92,25832.77,17,0.00,-82.61,-5.92,Месторождение,28.884351415847153,1e-05,6.072968490878938,расчёт начальных данных по отчётным регионам завершён.,17,20880.03,42.881274456253706,2,30327.68,357.66,0.00,161805.68852166296,00.02.42,26193.00,328955,109
