Поток компонента через границу региона OIL                                                    кг,CHECKP,Поток компонента через границу региона WATER                                                  кг,Текущие подвижные запасы воды в ОТЧ.РЕГ.                                               тыс.ст.м3,perm_median,Начальная масса компонента WATER                                                          млн.кг,poro_median,poro_fraction,MINNEWTIT,Объём воды (пл.усл.)                                                                тыс.пласт.м3,Текущие запасы летучей нефти в ОТЧ.РЕГ.                                                    ст.м3,ntg_mean,poro_mean,TOLLIN,Ср. насыщенность воды,Число компонентов (включая воду),MBERRCTRL,Ср. насыщенность нефти,Информация,TOLVARNEWT,perm_mean,ntg_variance,Поровый объём при P(ref)                                                            тыс.пласт.м3,Количество шагов,MBERRLIM,Характеристики,Поровый объём (пл.усл.)                                                             тыс.пласт.м3,Ср. давление в резервуаре [whc]                                                         бар абс.,Макс. число участков перфорации на скважину,Начальные запасы воды в ОТЧ.РЕГ.                                                       тыс.ст.м3,Файл модели,Начальные запасы летучей нефти в ОТЧ.РЕГ.                                                  ст.м3,poro_variance,Число скважин,Текущая масса компонента WATER                                                            млн.кг,Текущие запасы воды в ОТЧ.РЕГ.                                                         тыс.ст.м3,total_time,Ошибка материального баланса для компонента OIL                                               кг,Размер образа процесса,Ошибка материального баланса для компонента WATER                                             кг,ntg_median,Ср. давление в резервуаре [wpv]                                                         бар абс.,perm_variance,perm_fraction,Количество активных блоков,longitude,Число инт. перфораций,Начальная дата,Коэффициент извлечения нефти (КИН)                                                             %,Начальные подвижные запасы воды в ОТЧ.РЕГ.                                             тыс.ст.м3,no.,ntg_fraction
0.00,,0.00,7929.45,2.5,32229.68,0.1825,1.0954285714285716,,32888.86,0.00,19.985564861631094,0.19619168199460174,,0.450738,3,,0.546895,расчёт начальных данных по отчётным регионам завершён.,,2.5,142.89440053144318,73034.75,143,,Месторождение,72966.72,207.05,104,31847.51,'E:/Работа/Сириус/Вынгаяхинское/300_kust_07052015/PREDICT_BP11/VinBP11_300_V_3.dat'.,0.00,0.14456445184009467,7,32654.18,32266.98,,677303.92,1024,884014.97,1.0,208.37,0.0,1.0,517806,142.0,515,01 ЯНВ 2015,1.87,7448.05,0,31.0
0.00,1.0,0.00,7929.67,2.5,32229.68,0.1825,1.0954285714285716,,32889.09,0.00,19.985564861631094,0.19619168199460174,0.0001,0.450741,3,1e-07,0.546894,расчёт начальных данных по отчётным регионам завершён.,1e-05,2.5,142.89440053144318,73034.75,143,0.0,Месторождение,72966.73,207.06,104,31847.51,'E:/Работа/Сириус/Вынгаяхинское/300_kust_07052015/PREDICT_BP11/VinBP11_300_V_3_1.dat'.,0.00,0.14456445184009467,7,32654.41,32267.20,,-74295.59,1023,33998.81,1.0,208.37,0.0,1.0,517806,142.0,515,01 ЯНВ 2015,1.87,7448.05,1,31.0
0.00,1.0,0.00,7929.67,2.5,32229.68,0.1825,1.0954285714285716,0.0,32889.09,0.00,19.985564861631094,0.19619168199460174,0.0001,0.450741,3,1e-07,0.546894,расчёт начальных данных по отчётным регионам завершён.,1e-05,2.5,142.89440053144318,73034.75,143,0.0,Месторождение,72966.73,207.06,104,31847.51,'E:/Работа/Сириус/Вынгаяхинское/300_kust_07052015/PREDICT_BP11/VinBP11_300_V_3_2.dat'.,0.00,0.14456445184009467,7,32654.41,32267.20,,-74295.59,1027,33998.81,1.0,208.37,0.0,1.0,517806,142.0,515,01 ЯНВ 2015,1.87,7448.05,2,31.0
0.00,1.0,0.00,7929.67,2.5,32229.68,0.1825,1.0954285714285716,,32889.09,0.00,19.985564861631094,0.19619168199460174,0.0001,0.450741,3,1e-06,0.546894,расчёт начальных данных по отчётным регионам завершён.,1e-05,2.5,142.89440053144318,73034.75,143,0.0,Месторождение,72966.73,207.06,104,31847.51,'E:/Работа/Сириус/Вынгаяхинское/300_kust_07052015/PREDICT_BP11/VinBP11_300_V_3_3.dat'.,0.00,0.14456445184009467,7,32654.41,32267.20,,-74295.59,1026,33998.81,1.0,208.37,0.0,1.0,517806,142.0,515,01 ЯНВ 2015,1.87,7448.05,3,31.0
0.00,1.0,0.00,7929.67,2.5,32229.68,0.1825,1.0954285714285716,0.0,32889.09,0.00,19.985564861631094,0.19619168199460174,0.0001,0.450741,3,1e-06,0.546894,расчёт начальных данных по отчётным регионам завершён.,1e-05,2.5,142.89440053144318,73034.75,143,0.0,Месторождение,72966.73,207.06,104,31847.51,'E:/Работа/Сириус/Вынгаяхинское/300_kust_07052015/PREDICT_BP11/VinBP11_300_V_3_4.dat'.,0.00,0.14456445184009467,7,32654.41,32267.20,,-74295.59,1027,33998.81,1.0,208.37,0.0,1.0,517806,142.0,515,01 ЯНВ 2015,1.87,7448.05,4,31.0
0.00,1.0,0.00,7929.67,2.5,32229.68,0.1825,1.0954285714285716,,32889.09,0.00,19.985564861631094,0.19619168199460174,0.0001,0.450741,3,1e-05,0.546894,расчёт начальных данных по отчётным регионам завершён.,1e-05,2.5,142.89440053144318,73034.75,143,0.0,Месторождение,72966.73,207.06,104,31847.51,'E:/Работа/Сириус/Вынгаяхинское/300_kust_07052015/PREDICT_BP11/VinBP11_300_V_3_5.dat'.,0.00,0.14456445184009467,7,32654.41,32267.20,,-74295.59,1027,33998.81,1.0,208.37,0.0,1.0,517806,142.0,515,01 ЯНВ 2015,1.87,7448.05,5,31.0
0.00,1.0,0.00,7929.67,2.5,32229.68,0.1825,1.0954285714285716,0.0,32889.09,0.00,19.985564861631094,0.19619168199460174,0.0001,0.450741,3,1e-05,0.546894,расчёт начальных данных по отчётным регионам завершён.,1e-05,2.5,142.89440053144318,73034.75,143,0.0,Месторождение,72966.73,207.06,104,31847.51,'E:/Работа/Сириус/Вынгаяхинское/300_kust_07052015/PREDICT_BP11/VinBP11_300_V_3_6.dat'.,0.00,0.14456445184009467,7,32654.41,32267.20,,-74295.59,1025,33998.81,1.0,208.37,0.0,1.0,517806,142.0,515,01 ЯНВ 2015,1.87,7448.05,6,31.0
0.00,1.0,0.00,7929.67,2.5,32229.68,0.1825,1.0954285714285716,,32889.09,0.00,19.985564861631094,0.19619168199460174,0.0001,0.450741,3,0.0001,0.546894,расчёт начальных данных по отчётным регионам завершён.,1e-05,2.5,142.89440053144318,73034.75,143,0.0,Месторождение,72966.73,207.06,104,31847.51,'E:/Работа/Сириус/Вынгаяхинское/300_kust_07052015/PREDICT_BP11/VinBP11_300_V_3_7.dat'.,0.00,0.14456445184009467,7,32654.41,32267.20,,-74295.59,1023,33998.81,1.0,208.37,0.0,1.0,517806,142.0,515,01 ЯНВ 2015,1.87,7448.05,7,31.0
0.00,1.0,0.00,7929.67,2.5,32229.68,0.1825,1.0954285714285716,0.0,32889.09,0.00,19.985564861631094,0.19619168199460174,0.0001,0.450741,3,0.0001,0.546894,расчёт начальных данных по отчётным регионам завершён.,1e-05,2.5,142.89440053144318,73034.75,143,0.0,Месторождение,72966.73,207.06,104,31847.51,'E:/Работа/Сириус/Вынгаяхинское/300_kust_07052015/PREDICT_BP11/VinBP11_300_V_3_8.dat'.,0.00,0.14456445184009467,7,32654.41,32267.20,,-74295.59,1024,33998.81,1.0,208.37,0.0,1.0,517806,142.0,515,01 ЯНВ 2015,1.87,7448.05,8,31.0
0.00,1.0,0.00,7929.67,2.5,32229.68,0.1825,1.0954285714285716,,32889.09,0.00,19.985564861631094,0.19619168199460174,0.0001,0.450741,3,0.001,0.546894,расчёт начальных данных по отчётным регионам завершён.,1e-05,2.5,142.89440053144318,73034.75,143,0.0,Месторождение,72966.73,207.06,104,31847.51,'E:/Работа/Сириус/Вынгаяхинское/300_kust_07052015/PREDICT_BP11/VinBP11_300_V_3_9.dat'.,0.00,0.14456445184009467,7,32654.41,32267.20,,-74295.59,1024,33998.81,1.0,208.37,0.0,1.0,517806,142.0,515,01 ЯНВ 2015,1.87,7448.05,9,31.0
