Поток компонента через границу региона OIL                                                    кг,CHECKP,Поток компонента через границу региона WATER                                                  кг,Текущие подвижные запасы воды в ОТЧ.РЕГ.                                               тыс.ст.м3,perm_median,Начальная масса компонента WATER                                                          млн.кг,poro_median,poro_fraction,MINNEWTIT,Объём воды (пл.усл.)                                                                тыс.пласт.м3,Текущие запасы летучей нефти в ОТЧ.РЕГ.                                                    ст.м3,ntg_mean,poro_mean,TOLLIN,Ср. насыщенность воды,Число компонентов (включая воду),MBERRCTRL,Ср. насыщенность нефти,Информация,TOLVARNEWT,perm_mean,ntg_variance,Поровый объём при P(ref)                                                            тыс.пласт.м3,Количество шагов,MBERRLIM,Характеристики,Поровый объём (пл.усл.)                                                             тыс.пласт.м3,Ср. давление в резервуаре [whc]                                                         бар абс.,Макс. число участков перфорации на скважину,Начальные запасы воды в ОТЧ.РЕГ.                                                       тыс.ст.м3,Файл модели,Начальные запасы летучей нефти в ОТЧ.РЕГ.                                                  ст.м3,poro_variance,Число скважин,Текущая масса компонента WATER                                                            млн.кг,Текущие запасы воды в ОТЧ.РЕГ.                                                         тыс.ст.м3,total_time,Ошибка материального баланса для компонента OIL                                               кг,Размер образа процесса,Ошибка материального баланса для компонента WATER                                             кг,ntg_median,Ср. давление в резервуаре [wpv]                                                         бар абс.,perm_variance,perm_fraction,Количество активных блоков,longitude,Число инт. перфораций,Начальная дата,Коэффициент извлечения нефти (КИН)                                                             %,Начальные подвижные запасы воды в ОТЧ.РЕГ.                                             тыс.ст.м3,no.,ntg_fraction
0.00,,0.00,2480.35,11.89,4043.90,0.094,1.5492957746478875,,3513.83,0.00,-42593.70085763293,-28962.074080348975,,0.552637,2,,0.447363,расчёт начальных данных по отчётным регионам завершён.,,23.51109713506914,120251.49926702598,6470.26,78,,Месторождение,6358.30,151.05,16,3444.54,'E:/Работа/Сириус/Царичанское7Р/carich_DI.dat'.,0.00,224970.7786417895,2,4043.90,3444.55,,-40305.93,502,-3570.66,-9999.25,167.92,37.50046316634067,4.815642458100559,70438,77,26,01 ЯНВ 2012,8.15,2478.43,0,-0.00010000750056254219
0.00,1.0,0.00,2480.35,11.89,4043.90,0.094,1.5492957746478875,,3513.83,0.00,-42593.70085763293,-28962.074080348975,0.0001,0.552639,2,1e-07,0.447361,расчёт начальных данных по отчётным регионам завершён.,1e-05,23.51109713506914,120251.49926702598,6470.26,78,0.0,Месторождение,6358.27,151.01,16,3444.54,'E:/Работа/Сириус/Царичанское7Р/carich_DI_1.dat'.,0.00,224970.7786417895,2,4043.90,3444.54,,-300.18,505,5.88,-9999.25,167.88,37.50046316634067,4.815642458100559,70438,77,26,01 ЯНВ 2012,8.15,2478.43,1,-0.00010000750056254219
0.00,1.0,0.00,2480.35,11.89,4043.90,0.094,1.5492957746478875,0.0,3513.83,0.00,-42593.70085763293,-28962.074080348975,0.0001,0.552639,2,1e-07,0.447361,расчёт начальных данных по отчётным регионам завершён.,1e-05,23.51109713506914,120251.49926702598,6470.26,78,0.0,Месторождение,6358.27,151.01,16,3444.54,'E:/Работа/Сириус/Царичанское7Р/carich_DI_2.dat'.,0.00,224970.7786417895,2,4043.90,3444.54,,-300.18,505,5.88,-9999.25,167.88,37.50046316634067,4.815642458100559,70438,77,26,01 ЯНВ 2012,8.15,2478.43,2,-0.00010000750056254219
0.00,1.0,0.00,2480.35,11.89,4043.90,0.094,1.5492957746478875,,3513.83,0.00,-42593.70085763293,-28962.074080348975,0.0001,0.552639,2,1e-06,0.447361,расчёт начальных данных по отчётным регионам завершён.,1e-05,23.51109713506914,120251.49926702598,6470.26,78,0.0,Месторождение,6358.27,151.01,16,3444.54,'E:/Работа/Сириус/Царичанское7Р/carich_DI_3.dat'.,0.00,224970.7786417895,2,4043.90,3444.54,,-300.18,505,5.88,-9999.25,167.88,37.50046316634067,4.815642458100559,70438,77,26,01 ЯНВ 2012,8.15,2478.43,3,-0.00010000750056254219
0.00,1.0,0.00,2480.35,11.89,4043.90,0.094,1.5492957746478875,0.0,3513.83,0.00,-42593.70085763293,-28962.074080348975,0.0001,0.552639,2,1e-06,0.447361,расчёт начальных данных по отчётным регионам завершён.,1e-05,23.51109713506914,120251.49926702598,6470.26,78,0.0,Месторождение,6358.27,151.01,16,3444.54,'E:/Работа/Сириус/Царичанское7Р/carich_DI_4.dat'.,0.00,224970.7786417895,2,4043.90,3444.54,,-300.18,506,5.88,-9999.25,167.88,37.50046316634067,4.815642458100559,70438,77,26,01 ЯНВ 2012,8.15,2478.43,4,-0.00010000750056254219
0.00,1.0,0.00,2480.35,11.89,4043.90,0.094,1.5492957746478875,,3513.83,0.00,-42593.70085763293,-28962.074080348975,0.0001,0.552639,2,1e-05,0.447361,расчёт начальных данных по отчётным регионам завершён.,1e-05,23.51109713506914,120251.49926702598,6470.26,78,0.0,Месторождение,6358.27,151.01,16,3444.54,'E:/Работа/Сириус/Царичанское7Р/carich_DI_5.dat'.,0.00,224970.7786417895,2,4043.90,3444.54,,-300.18,502,5.88,-9999.25,167.88,37.50046316634067,4.815642458100559,70438,77,26,01 ЯНВ 2012,8.15,2478.43,5,-0.00010000750056254219
0.00,1.0,0.00,2480.35,11.89,4043.90,0.094,1.5492957746478875,0.0,3513.83,0.00,-42593.70085763293,-28962.074080348975,0.0001,0.552639,2,1e-05,0.447361,расчёт начальных данных по отчётным регионам завершён.,1e-05,23.51109713506914,120251.49926702598,6470.26,78,0.0,Месторождение,6358.27,151.01,16,3444.54,'E:/Работа/Сириус/Царичанское7Р/carich_DI_6.dat'.,0.00,224970.7786417895,2,4043.90,3444.54,,-300.18,503,5.88,-9999.25,167.88,37.50046316634067,4.815642458100559,70438,77,26,01 ЯНВ 2012,8.15,2478.43,6,-0.00010000750056254219
0.00,1.0,0.00,2480.35,11.89,4043.90,0.094,1.5492957746478875,,3513.83,0.00,-42593.70085763293,-28962.074080348975,0.0001,0.552639,2,0.0001,0.447361,расчёт начальных данных по отчётным регионам завершён.,1e-05,23.51109713506914,120251.49926702598,6470.26,78,0.0,Месторождение,6358.27,151.01,16,3444.54,'E:/Работа/Сириус/Царичанское7Р/carich_DI_7.dat'.,0.00,224970.7786417895,2,4043.90,3444.54,,-300.18,502,5.88,-9999.25,167.88,37.50046316634067,4.815642458100559,70438,77,26,01 ЯНВ 2012,8.15,2478.43,7,-0.00010000750056254219
0.00,1.0,0.00,2480.35,11.89,4043.90,0.094,1.5492957746478875,0.0,3513.83,0.00,-42593.70085763293,-28962.074080348975,0.0001,0.552639,2,0.0001,0.447361,расчёт начальных данных по отчётным регионам завершён.,1e-05,23.51109713506914,120251.49926702598,6470.26,78,0.0,Месторождение,6358.27,151.01,16,3444.54,'E:/Работа/Сириус/Царичанское7Р/carich_DI_8.dat'.,0.00,224970.7786417895,2,4043.90,3444.54,,-300.18,501,5.88,-9999.25,167.88,37.50046316634067,4.815642458100559,70438,77,26,01 ЯНВ 2012,8.15,2478.43,8,-0.00010000750056254219
0.00,1.0,0.00,2480.35,11.89,4043.90,0.094,1.5492957746478875,,3513.83,0.00,-42593.70085763293,-28962.074080348975,0.0001,0.552639,2,0.001,0.447361,расчёт начальных данных по отчётным регионам завершён.,1e-05,23.51109713506914,120251.49926702598,6470.26,78,0.0,Месторождение,6358.27,151.01,16,3444.54,'E:/Работа/Сириус/Царичанское7Р/carich_DI_9.dat'.,0.00,224970.7786417895,2,4043.90,3444.54,,-300.18,506,5.88,-9999.25,167.88,37.50046316634067,4.815642458100559,70438,77,26,01 ЯНВ 2012,8.15,2478.43,9,-0.00010000750056254219
